NODENAME,NEIGHBOR_HOSTNAME,Direction,Traffic_Gate,Exchange,NEIGHBORLOCATION
KFRSHK-R40J-KFS-EG,ADERAZ-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,ABODERAZ...KFS
KFRSHK-R40J-KFS-EG,ABADWY-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,ABOBADAWY...KFS
KFRSHK-R40J-KFS-EG,REYAD-R02J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,REYAD...KFS
KFRSHK-R40J-KFS-EG,REYAD-R02J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,REYAD...KFS
KFRSHK-R40J-KFS-EG,SLMIAH-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,SALMIAH...KFS
KFRSHK-R40J-KFS-EG,SLMIAH-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,SALMIAH...KFS
KFRSHK-R40J-KFS-EG,SLMIAH-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,SALMIAH...KFS
KFRSHK-R40J-KFS-EG,MABBAS-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,MANSHAATABBAS...KFS
KFRSHK-R40J-KFS-EG,MSOKAR-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,MASNAELSOKAR...KFS
KFRSHK-R40J-KFS-EG,QUNAH-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,QUNAH...KFS
KFRSHK-R40J-KFS-EG,BKTOSH-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,BAKATOUSH...KFS
KFRSHK-R40J-KFS-EG,BKTOSH-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,BAKATOUSH...KFS
KFRSHK-R40J-KFS-EG,BKTOSH-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,BAKATOUSH...KFS
KFRSHK-R40J-KFS-EG,DESOUQ-R30J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,DESOUQ...KFS
KFRSHK-R40J-KFS-EG,DESOUQ-R30J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,DESOUQ...KFS
KFRSHK-R40J-KFS-EG,DESOUQ-R30J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,DESOUQ...KFS
KFRSHK-R40J-KFS-EG,DESOUQ-R30J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,DESOUQ...KFS
KFRSHK-R40J-KFS-EG,DESOUQ-R30J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,DESOUQ...KFS
KFRSHK-R40J-KFS-EG,DESOUQ-R30J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,DESOUQ...KFS
KFRSHK-R40J-KFS-EG,SHBSML-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,SHABASELMALH...KFS
KFRSHK-R40J-KFS-EG,SHBSML-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,SHABASELMALH...KFS
KFRSHK-R40J-KFS-EG,SHBSML-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,SHABASELMALH...KFS
KFRSHK-R40J-KFS-EG,SHBSML-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,SHABASELMALH...KFS
KFRSHK-R40J-KFS-EG,ARIMON-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,ARIMON...KFS
KFRSHK-R40J-KFS-EG,KOMTWL-R02J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,KOMELTAWIL...KFS
KFRSHK-R40J-KFS-EG,ELYOUSRA-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,YOUSRA...KFS
KFRSHK-R40J-KFS-EG,GZRKDR-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,GEZIRAHELKHADRAA...KFS
KFRSHK-R40J-KFS-EG,GHNEMY-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,GHONEIMY...KFS
KFRSHK-R40J-KFS-EG,KFRAGMY-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,KAFRELAGAMY...KFS
KFRSHK-R41J-KFS-EG,SAHAYT-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,SAHAYET...KFS
KFRSHK-R41J-KFS-EG,SAHAYT-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,SAHAYET...KFS
KFRSHK-R41J-KFS-EG,EZBTSH-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,EZBETELSHEIKH...KFS
KFRSHK-R41J-KFS-EG,ESHAQA-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,ESHAQA...KFS
KFRSHK-R41J-KFS-EG,KHDMYA-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,KHADIMYAH...KFS
KFRSHK-R41J-KFS-EG,AMNDOR-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,ABOMANDOUR...KFS
KFRSHK-R41J-KFS-EG,ZHRHFY-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,ZAHRANELHAFY...KFS
KFRSHK-R41J-KFS-EG,OMSEN-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,OMSEN...KFS
KFRSHK-R41J-KFS-EG,OMSEN-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,OMSEN...KFS
KFRSHK-R41J-KFS-EG,OMSEN-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,OMSEN...KFS
KFRSHK-R41J-KFS-EG,FAYROOZ-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,FAYROOZ...KFS
KFRSHK-R41J-KFS-EG,FAYROOZ-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,FAYROOZ...KFS
KFRSHK-R41J-KFS-EG,MGSRKY-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,MAGAZELSHARKY...KFS
