NODENAME,MANAGEMENT_SYSTEM,IP1,NODELOCATION,LOCAL_INTERFACE,locaL_ADDRESS,Role1,NEIGHBOR_HOSTNAME,NEIGHBOR_INTERFACE,neighboR_ADDRESS,NEIGHBORLOCATION,Role2,Direction
WDABDY-R01J-ASN-EG,JUNIPER_MPLS,10.45.4.225,WADIABBADI...ASN,GE-0/0/6,10.39.70.9/30,EDGE,ASWNW-R32J-ASN-EG,GE-1/2/1,10.39.70.10/30,ASWANWEST...ASN,DISTRIBUTION & VAS ROUTERS,Uplink
WDABDY-R01J-ASN-EG,JUNIPER_MPLS,10.45.4.225,WADIABBADI...ASN,GE-0/0/0,10.39.36.170/30,EDGE,ASWNW-R32J-ASN-EG,GE-0/1/1,10.39.36.169/30,ASWANWEST...ASN,DISTRIBUTION & VAS ROUTERS,Uplink
DSTASHR-R01J-BH-EG,JUNIPER_MPLS,10.45.4.196,DESTELASHRAF...BH,GE-0/0/7,10.39.70.17/30,EDGE,DMNHRE1-R31J-BH-EG,GE-8/0/6,10.39.70.18/30,DAMANHUREAST1...BH,BIG EDGE,Uplink
DSTASHR-R01J-BH-EG,JUNIPER_MPLS,10.45.4.196,DESTELASHRAF...BH,GE-0/0/1,10.39.27.118/30,EDGE,DMNHRE1-R31J-BH-EG,GE-7/1/5,10.39.27.117/30,DAMANHUREAST1...BH,BIG EDGE,Uplink
DSTASHR-R01J-BH-EG,JUNIPER_MPLS,10.45.4.196,DESTELASHRAF...BH,GE-0/0/0,10.39.27.114/30,EDGE,DMNHRE1-R31J-BH-EG,GE-4/1/3,10.39.27.113/30,DAMANHUREAST1...BH,BIG EDGE,Uplink
DSTASHR-R01J-BH-EG,JUNIPER_MPLS,10.45.4.196,DESTELASHRAF...BH,GE-0/1/8,10.39.27.110/30,EDGE,DMNHRE1-R31J-BH-EG,GE-2/2/8,10.39.27.109/30,DAMANHUREAST1...BH,BIG EDGE,Uplink
BIEGAM-R06J-C-EG,JUNIPER_MPLS,10.45.12.254,BIEGAM...C,AE20,10.29.11.105/30,EDGE,BIEGAM-R30J-C-EG,AE20,10.29.11.106/30,BIEGAM...C,BIG EDGE,Uplink
BIEGAM-R06J-C-EG,JUNIPER_MPLS,10.45.12.254,BIEGAM...C,AE10,10.29.11.113/30,EDGE,BIEGAM-R31J-C-EG,AE10,10.29.11.114/30,BIEGAM...C,BIG EDGE,Uplink
SNHOUT-R02J-SHR-EG,JUNIPER_MPLS,10.45.1.239,SENHOUT...SHR,XE-2/0/0,10.39.64.93/30,EDGE,ZGZIGW-R40C-SHR-EG,TE0/6/0/6,10.39.64.94/30,ZAGAZIGWEST...SHR,DISTRIBUTION & VAS ROUTERS,Uplink
FASHN-R01J-BNS-EG,JUNIPER_MPLS,10.45.0.48,FASHN...BNS,XE-2/0/1,10.39.254.165/30,EDGE,FASHN-R30H-BNS-EG,GE0/1/1,10.39.254.166/30,FASHN...BNS,,Uplink
